Fighter_Name,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Height_in,Reach_in,Weight_lbs,Ape_Index,Weight_Class
Vladimir Matyushenko,Orthodox,1971-01-04,27,8,0,1.9,0.44,1.62,0.59,3.25,0.46,0.7,0.1,72,74.0,205.0,2.0,Light Heavyweight
Miranda Maverick,Southpaw,1997-07-01,17,6,0,3.22,0.44,2.25,0.61,2.16,0.4,0.45,0.4,63,65.0,125.0,2.0,Flyweight
Nick Maximov,Southpaw,1997-12-23,8,2,0,1.93,0.45,2.64,0.46,4.16,0.45,0.35,0.2,72,76.0,185.0,4.0,Middleweight
Don'Tale Mayes,Orthodox,1992-01-16,11,9,0,3.22,0.43,3.61,0.46,0.59,0.38,0.46,0.0,78,81.0,260.0,3.0,Heavyweight
Gray Maynard,Orthodox,1979-05-09,13,7,1,1.92,0.32,2.64,0.66,2.91,0.47,0.81,0.7,69,70.0,155.0,1.0,Lightweight
Gina Mazany,Southpaw,1988-08-19,7,6,0,3.73,0.5,3.52,0.5,4.34,0.52,0.33,0.2,66,68.0,125.0,2.0,Flyweight
Sabina Mazo,Orthodox,1997-03-25,9,4,0,6.1,0.43,4.35,0.57,0.65,0.8,0.59,0.2,67,70.0,125.0,3.0,Flyweight
Francesco Mazzeo,Orthodox,1997-09-23,4,1,0,1.83,0.44,0.75,0.65,3.23,0.5,0.0,0.0,75,75.0,205.0,0.0,Light Heavyweight
Ian McCall,Orthodox,1984-05-07,13,5,1,3.59,0.39,3.25,0.67,2.08,0.3,0.88,0.0,65,64.0,125.0,-1.0,Flyweight
Molly McCann,Orthodox,1990-05-04,14,8,0,5.28,0.49,4.65,0.62,1.78,0.36,0.38,0.5,64,62.0,115.0,-2.0,Flyweight
Charles McCarthy,Orthodox,1980-08-06,10,5,0,0.18,0.12,4.03,0.56,2.67,0.6,0.0,2.7,70,71.0,185.0,1.0,Middleweight
Eric McConico,Southpaw,1990-05-09,10,4,1,2.61,0.43,3.23,0.46,0.0,0.0,0.64,0.0,72,77.0,185.0,5.0,Middleweight
Sean McCorkle,Orthodox,1976-07-17,17,7,0,0.85,0.44,2.48,0.52,2.12,0.4,0.33,4.2,79,81.0,265.0,2.0,Heavyweight
Danni McCormack,Southpaw,1990-03-15,9,2,0,6.93,0.51,4.53,0.6,6.0,0.42,0.5,2.0,64,62.0,125.0,-2.0,Flyweight
Paddy McCorry,Switch,1997-12-09,7,1,0,6.2,0.55,2.47,0.53,1.0,0.5,0.0,0.0,75,73.0,185.0,-2.0,Middleweight
Kris McCray,Orthodox,1981-09-24,8,5,0,2.69,0.45,2.57,0.54,2.88,0.55,0.38,0.0,72,76.0,170.0,4.0,Welterweight
Tamdan McCrory,Switch,1986-11-05,14,5,0,2.07,0.49,1.6,0.46,2.28,0.5,0.33,2.5,76,76.0,185.0,0.0,Middleweight
Rob McCullough,Orthodox,1977-05-26,19,8,0,2.47,0.36,2.84,0.59,0.46,1.0,0.68,0.0,69,69.0,155.0,0.0,Lightweight
Justin McCully,Orthodox,1976-02-18,11,5,2,1.58,0.37,2.02,0.46,1.28,0.44,0.43,0.0,73,73.0,225.0,0.0,Heavyweight
Robert McDaniel,Southpaw,1983-05-03,28,10,0,1.64,0.44,1.98,0.56,0.93,0.5,0.5,1.4,75,75.0,185.0,0.0,Middleweight
Michael McDonald,Orthodox,1991-01-15,17,4,0,2.69,0.42,2.76,0.57,1.09,0.66,0.52,1.4,69,70.0,135.0,1.0,Bantamweight
Drew McFedries,Southpaw,1978-07-27,12,7,0,5.13,0.51,4.56,0.52,1.42,1.0,0.56,0.7,72,72.0,185.0,0.0,Middleweight
Court McGee,Orthodox,1984-12-12,23,14,0,4.5,0.36,3.65,0.6,1.78,0.24,0.7,0.5,71,75.0,170.0,4.0,Welterweight
Marcus McGhee,Orthodox,1990-05-07,10,2,0,5.5,0.45,3.64,0.57,0.31,0.14,0.9,0.3,68,69.0,135.0,1.0,Bantamweight
Conor McGregor,Southpaw,1988-07-14,22,6,0,5.32,0.49,4.66,0.54,0.67,0.55,0.66,0.1,69,74.0,155.0,5.0,Lightweight
Rhys McKee,Orthodox,1995-09-10,14,7,1,4.71,0.4,7.15,0.47,0.0,0.0,0.47,0.0,74,78.0,170.0,4.0,Welterweight
Cory McKenna,Orthodox,1999-07-11,8,4,0,2.94,0.38,3.68,0.46,2.0,0.47,0.75,0.4,63,58.0,115.0,-5.0,Flyweight
Tim McKenzie,Orthodox,1982-07-21,14,9,0,1.37,0.54,2.96,0.44,0.0,0.0,0.28,2.1,72,74.0,185.0,2.0,Middleweight
Cody McKenzie,Switch,1987-12-16,16,10,0,1.74,0.34,2.5,0.67,2.5,0.25,0.14,2.5,72,72.0,155.0,0.0,Lightweight
Terrance McKinney,Switch,1994-09-15,17,8,0,6.24,0.56,3.46,0.43,3.34,0.4,0.72,2.1,70,73.0,155.0,3.0,Lightweight
Garreth McLellan,Southpaw,1982-09-01,13,6,0,3.56,0.54,2.94,0.45,1.15,0.22,0.34,0.9,73,72.0,185.0,-1.0,Middleweight
Sara McMann,Orthodox,1980-09-24,13,6,0,2.26,0.46,1.92,0.47,4.38,0.65,0.5,0.5,66,66.0,135.0,0.0,Bantamweight
Tommy McMillen,Orthodox,1997-12-15,9,0,0,7.53,0.51,5.67,0.55,0.0,0.0,0.83,0.0,72,74.0,145.0,2.0,Featherweight
James McSweeney,Switch,1980-10-24,15,15,0,3.94,0.55,4.33,0.42,0.52,0.33,1.0,1.1,76,77.0,230.0,1.0,Heavyweight
Jackson McVey,Southpaw,1999-03-25,6,2,0,5.87,0.68,3.82,0.23,0.0,0.0,0.0,0.0,76,77.0,185.0,1.0,Middleweight
Tim Means,Orthodox,1984-02-20,33,17,1,5.04,0.49,3.65,0.6,1.14,0.4,0.64,0.2,74,75.0,170.0,1.0,Welterweight
Yancy Medeiros,Orthodox,1987-09-07,15,8,0,4.36,0.37,5.67,0.47,0.33,0.5,0.73,0.7,70,75.0,155.0,5.0,Lightweight
MarQuel Mederos,Orthodox,1996-11-30,11,1,0,4.84,0.56,2.99,0.58,0.0,0.0,0.83,0.0,70,69.0,155.0,-1.0,Lightweight
Uros Medic,Southpaw,1993-04-25,13,3,0,5.59,0.6,3.42,0.56,0.34,0.5,0.55,0.0,73,71.0,170.0,-2.0,Welterweight
Emil Meek,Switch,1988-08-20,9,5,1,2.52,0.39,2.53,0.38,0.25,0.33,0.47,1.0,71,74.0,170.0,3.0,Welterweight
Sanford Alton Meeks,Orthodox,1994-04-05,1,1,0,0.71,0.42,4.47,0.38,7.06,0.25,0.0,0.0,77,75.0,265.0,-2.0,Heavyweight
Gerald Meerschaert,Southpaw,1987-12-18,37,21,0,3.01,0.45,3.52,0.53,1.82,0.3,0.42,1.4,73,77.0,185.0,4.0,Middleweight
Jordan Mein,Orthodox,1989-10-10,31,12,0,3.35,0.44,2.55,0.69,1.56,0.58,0.66,0.2,72,73.0,170.0,1.0,Welterweight
Gilbert Melendez,Orthodox,1982-04-12,22,8,0,3.44,0.33,2.53,0.63,1.64,0.41,0.71,0.2,69,73.0,145.0,4.0,Featherweight
Vanessa Melo,Orthodox,1988-03-27,11,8,0,3.48,0.3,6.13,0.59,0.0,0.0,0.71,0.0,65,65.0,135.0,0.0,Bantamweight
Antonio Mendes,Southpaw,1981-04-19,18,13,0,1.34,0.47,6.85,0.22,2.51,0.5,1.0,0.0,75,77.0,205.0,2.0,Light Heavyweight
Chad Mendes,Orthodox,1985-05-01,18,5,0,2.78,0.49,2.35,0.67,4.13,0.55,1.0,0.3,66,66.0,145.0,0.0,Featherweight
Augusto Mendes,Orthodox,1983-03-03,6,2,0,2.42,0.34,3.91,0.56,1.75,0.33,0.8,0.0,66,65.0,135.0,-1.0,Bantamweight
Mateus Mendonca,Orthodox,1999-01-17,10,3,0,1.66,0.4,4.14,0.3,2.54,0.27,0.55,0.4,66,71.0,125.0,5.0,Flyweight
Pietro Menga,Southpaw,1988-02-15,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,68.0,125.0,1.0,Flyweight
Alonzo Menifield,Orthodox,1987-10-18,17,6,1,3.77,0.53,3.81,0.5,0.5,0.31,0.78,0.2,72,76.0,205.0,4.0,Light Heavyweight
Ivan Menjivar,Orthodox,1982-05-30,25,12,0,2.78,0.37,2.76,0.65,0.56,0.28,0.38,1.0,66,64.0,145.0,-2.0,Featherweight
Bia Mesquita,Orthodox,1991-04-07,6,0,0,4.98,0.57,0.83,0.73,4.15,0.66,0.0,2.1,64,67.0,135.0,3.0,Bantamweight
Yaotzin Meza,Orthodox,1981-02-04,21,11,0,1.43,0.41,1.62,0.64,1.06,0.2,0.18,1.4,69,71.0,145.0,2.0,Featherweight
David Mgoyan,Orthodox,2004-06-25,7,1,0,5.67,0.44,7.53,0.48,2.0,0.16,1.0,1.0,69,70.0,145.0,1.0,Featherweight
Jonathan Micallef,Southpaw,1999-03-05,9,1,0,3.96,0.41,4.22,0.56,1.13,0.66,0.75,1.1,72,77.0,170.0,5.0,Welterweight
Andreas Michailidis,Orthodox,1988-07-18,13,6,0,2.9,0.51,3.57,0.44,1.12,0.27,0.5,0.0,72,76.0,170.0,4.0,Welterweight
Zachary Micklewright,Southpaw,1976-08-21,15,3,0,5.56,0.53,4.72,0.54,0.7,0.12,1.0,0.0,72,74.0,155.0,2.0,Lightweight
Bojan Mihajlovic,Orthodox,1980-03-30,10,6,0,1.23,0.35,5.95,0.47,0.0,0.0,0.33,0.0,71,73.0,205.0,2.0,Light Heavyweight
Curtis Millender,Orthodox,1987-12-01,17,5,0,3.86,0.46,2.95,0.61,0.43,1.0,0.57,0.0,74,76.0,170.0,2.0,Welterweight
Dan Miller,Orthodox,1981-06-30,14,8,0,2.03,0.36,3.06,0.49,1.67,0.54,0.47,1.8,73,74.0,185.0,1.0,Middleweight
Jim Miller,Southpaw,1983-08-30,38,19,0,2.92,0.42,3.44,0.56,1.5,0.45,0.48,1.7,68,71.0,155.0,3.0,Lightweight
Cole Miller,Orthodox,1984-04-26,21,11,0,3.0,0.33,3.88,0.59,0.6,0.36,0.38,1.8,73,73.0,145.0,0.0,Featherweight
Mo Miller,Orthodox,1992-08-10,6,0,0,1.87,0.45,1.33,0.6,4.0,0.8,0.0,0.0,68,72.0,135.0,4.0,Bantamweight
Juliana Miller,Orthodox,1996-05-07,5,4,0,2.65,0.39,4.14,0.44,2.16,0.29,0.44,1.2,67,66.0,125.0,-1.0,Flyweight
Ty Miller,Orthodox,2000-06-04,7,0,0,7.16,0.38,4.65,0.64,0.0,0.0,0.75,0.0,74,77.0,170.0,3.0,Welterweight
Trent Miller,Orthodox,1995-10-31,8,3,0,2.11,0.2,11.23,0.48,0.0,0.0,0.0,0.0,69,72.0,185.0,3.0,Middleweight
Che Mills,Orthodox,1982-09-29,16,10,0,2.08,0.52,2.87,0.43,1.18,0.66,0.58,0.0,73,76.0,170.0,3.0,Welterweight
Adam Milstead,Orthodox,1987-07-03,8,4,0,3.85,0.46,4.79,0.43,0.0,0.0,0.64,0.0,75,76.0,205.0,1.0,Light Heavyweight
Alberto Mina,Orthodox,1982-05-02,13,1,0,3.23,0.38,3.7,0.47,1.85,0.2,0.5,0.0,72,77.0,170.0,5.0,Welterweight
Mario Mingaj,Orthodox,1998-10-28,7,1,0,1.62,0.33,6.49,0.52,0.0,0.0,0.0,0.0,75,78.0,185.0,3.0,Middleweight
Darrick Minner,Orthodox,1990-04-28,26,14,0,2.63,0.65,2.28,0.35,2.4,0.72,0.66,2.7,67,69.0,145.0,2.0,Featherweight
Carlton Minus,Orthodox,1993-04-26,10,3,0,3.5,0.4,4.97,0.5,0.0,0.0,0.58,0.0,70,75.0,170.0,5.0,Welterweight
Stipe Miocic,Orthodox,1982-08-19,20,5,0,4.67,0.52,4.01,0.52,1.74,0.34,0.65,0.0,76,80.0,240.0,4.0,Heavyweight
Frank Mir,Southpaw,1979-05-24,18,11,0,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2.0,75,79.0,264.0,4.0,Heavyweight
Mario Miranda,Orthodox,1979-07-12,14,7,0,1.96,0.54,2.46,0.36,1.02,0.6,0.54,0.0,75,74.0,185.0,-1.0,Middleweight
Vitor Miranda,Orthodox,1979-03-10,12,5,0,2.98,0.45,2.95,0.58,0.95,0.55,0.5,0.2,73,77.0,185.0,4.0,Middleweight
Gabriel Miranda,Orthodox,1990-03-25,17,8,0,3.23,0.43,6.01,0.37,4.75,0.38,0.0,1.9,71,71.0,145.0,0.0,Featherweight
David Mitchell,Orthodox,1979-10-24,22,7,0,1.74,0.32,2.06,0.55,0.66,0.5,0.29,2.0,72,75.0,170.0,3.0,Welterweight
Bryce Mitchell,Southpaw,1994-10-04,18,4,0,2.27,0.59,1.6,0.58,3.24,0.36,0.33,1.2,70,70.0,135.0,0.0,Bantamweight
Terrence Mitchell,Orthodox,1989-12-30,14,4,0,2.21,0.34,8.85,0.41,3.69,0.5,0.0,0.0,70,74.0,135.0,4.0,Bantamweight
Matt Mitrione,Switch,1978-07-15,12,5,0,3.55,0.5,2.79,0.64,0.0,0.0,0.55,0.7,75,82.0,265.0,7.0,Heavyweight
Hiromitsu Miura,Orthodox,1981-09-22,12,7,0,2.12,0.34,2.12,0.58,2.23,0.5,0.69,0.6,69,71.0,170.0,2.0,Welterweight
Patchy Mix,Southpaw,1993-08-16,20,3,0,5.3,0.43,7.3,0.43,2.5,0.62,0.0,0.0,71,70.0,135.0,-1.0,Bantamweight
Takeya Mizugaki,Orthodox,1983-12-16,21,11,2,3.37,0.37,3.27,0.57,1.46,0.57,0.7,0.1,67,69.0,135.0,2.0,Bantamweight
Mizuki,Orthodox,1994-08-19,16,6,0,4.45,0.52,4.65,0.49,0.75,0.33,0.8,0.0,63,65.0,115.0,2.0,Flyweight
Roxanne Modafferi,Orthodox,1982-09-24,25,21,0,3.35,0.3,5.7,0.51,1.35,0.23,0.3,0.1,67,69.0,125.0,2.0,Flyweight
Bobby Moffett,Orthodox,1990-06-01,13,5,0,3.41,0.39,3.15,0.61,2.74,0.66,0.66,1.4,70,73.0,145.0,3.0,Featherweight
Nate Mohr,Orthodox,1983-03-03,9,7,0,3.79,0.41,2.5,0.74,0.45,0.5,0.71,0.0,69,72.0,155.0,3.0,Lightweight
Renato Moicano,Orthodox,1989-05-21,20,7,1,4.17,0.48,3.57,0.59,1.67,0.41,0.62,0.5,71,72.0,155.0,1.0,Lightweight
Thiago Moises,Orthodox,1995-03-23,19,9,0,2.48,0.42,4.08,0.53,1.31,0.35,0.52,1.1,69,70.0,155.0,1.0,Lightweight
Muhammad Mokaev,Orthodox,2000-07-30,13,0,0,1.61,0.45,1.35,0.57,5.29,0.41,0.25,0.8,67,70.0,125.0,3.0,Flyweight
Ashkan Mokhtarian,Southpaw,1985-09-15,13,3,0,1.95,0.43,3.66,0.43,0.54,0.16,0.33,0.0,66,67.0,125.0,1.0,Flyweight
Suman Mokhtarian,Orthodox,1992-06-13,8,5,0,2.21,0.43,6.85,0.48,0.0,0.0,0.0,0.0,68,72.0,145.0,4.0,Featherweight
Jeff Molina,Orthodox,1997-07-17,11,2,0,7.25,0.48,5.04,0.55,0.0,0.0,0.66,0.0,66,69.0,125.0,3.0,Flyweight
Jeff Monson,Orthodox,1971-01-18,60,26,1,0.97,0.3,2.87,0.59,1.06,0.12,0.66,0.7,69,74.0,247.0,5.0,Heavyweight
Darrell Montague,Southpaw,1987-11-03,13,5,0,1.92,0.25,5.38,0.52,0.72,0.25,0.33,1.4,66,67.0,125.0,1.0,Flyweight
Michelle Montague,Southpaw,1993-11-25,7,0,0,2.73,0.46,3.2,0.41,5.0,0.71,0.0,0.0,69,68.0,135.0,-1.0,Bantamweight
Augusto Montano,Orthodox,1984-10-25,15,3,0,3.46,0.46,2.66,0.56,0.0,0.0,0.66,0.0,73,73.0,170.0,0.0,Welterweight
Erick Montano,Orthodox,1985-11-19,7,5,0,2.79,0.44,2.06,0.64,2.29,0.36,0.66,0.0,72,73.0,170.0,1.0,Welterweight
Nicco Montano,Southpaw,1988-12-16,5,3,0,5.6,0.41,4.43,0.64,2.25,0.54,0.69,0.4,65,65.0,135.0,0.0,Bantamweight
Antonio Monteiro,Orthodox,1995-07-02,17,5,1,3.93,0.49,8.33,0.33,1.0,0.33,0.66,1.0,67,70.0,145.0,3.0,Featherweight
Sofia Montenegro,Orthodox,1999-06-18,6,2,0,4.27,0.4,5.67,0.48,1.0,0.25,1.0,0.0,66,67.0,125.0,1.0,Flyweight
Alberto Montes,Orthodox,1994-05-31,12,1,0,5.26,0.6,4.44,0.6,0.0,0.0,0.77,6.8,67,69.0,145.0,2.0,Featherweight
James Moontasri,Switch,1988-04-10,9,5,0,2.39,0.48,3.86,0.4,0.0,0.0,0.79,0.2,70,71.0,170.0,1.0,Welterweight
Todd Moore,Southpaw,1983-12-30,16,7,0,1.83,0.26,2.3,0.57,0.78,0.14,0.54,0.0,69,71.0,170.0,2.0,Welterweight
Taylor Moore,Southpaw,1993-10-16,10,5,0,0.2,0.75,2.07,0.42,0.0,0.0,0.25,0.0,70,70.0,135.0,0.0,Bantamweight
Sergio Moraes,Orthodox,1982-07-23,14,6,1,2.42,0.42,3.73,0.59,1.2,0.38,0.75,0.4,72,72.0,170.0,0.0,Welterweight
Marlon Moraes,Orthodox,1988-04-26,23,10,1,3.37,0.4,4.53,0.54,0.87,0.41,0.46,0.3,66,67.0,135.0,1.0,Bantamweight
Sheymon Moraes,Orthodox,1990-10-11,11,4,0,3.0,0.42,3.64,0.63,0.0,0.0,0.53,0.0,68,72.0,145.0,4.0,Featherweight
John Moraga,Orthodox,1984-03-20,19,7,0,2.57,0.43,2.55,0.56,0.62,0.23,0.44,1.1,66,66.0,125.0,0.0,Flyweight
Albert Morales,Orthodox,1991-05-25,7,4,1,3.81,0.35,3.96,0.56,0.91,0.35,0.7,0.2,69,72.0,135.0,3.0,Bantamweight
Joseph Morales,Switch,1994-08-22,15,2,0,2.0,0.4,2.05,0.57,1.14,0.42,0.26,3.0,66,69.0,125.0,3.0,Flyweight
Vince Morales,Orthodox,1990-11-12,16,10,0,3.57,0.37,4.0,0.53,0.59,0.4,0.58,0.5,67,70.0,135.0,3.0,Bantamweight
Omar Morales,Orthodox,1985-10-17,11,4,0,3.42,0.4,3.18,0.58,0.46,1.0,0.63,0.0,71,73.0,155.0,2.0,Lightweight
Michael Morales,Orthodox,1999-06-24,19,0,0,5.68,0.49,3.26,0.53,1.04,0.41,0.89,0.0,72,79.0,170.0,7.0,Welterweight
Sarah Moras,Orthodox,1988-04-30,6,8,0,2.28,0.34,3.58,0.5,0.67,0.21,0.33,0.8,67,67.0,135.0,0.0,Bantamweight
Christian Morecraft,Orthodox,1986-09-08,8,3,0,2.82,0.34,2.46,0.46,3.26,0.66,0.5,2.2,78,81.0,260.0,3.0,Heavyweight
Vinicius Moreira,Orthodox,1989-02-28,9,5,0,3.15,0.59,5.07,0.43,1.97,0.18,0.0,1.3,76,76.0,205.0,0.0,Light Heavyweight
Brandon Moreno,Orthodox,1993-12-07,23,10,2,3.84,0.44,3.64,0.59,1.36,0.39,0.65,0.4,67,70.0,125.0,3.0,Flyweight
Dan Moret,Southpaw,1986-11-21,13,6,0,2.67,0.43,3.56,0.43,1.25,0.27,0.45,0.4,72,73.0,155.0,1.0,Lightweight
Alexander Morgan,Orthodox,1991-05-14,11,5,0,3.71,0.44,2.78,0.47,0.0,0.0,0.0,0.0,70,71.0,145.0,1.0,Featherweight
Alex Morono,Orthodox,1990-08-16,24,13,0,4.9,0.39,4.88,0.55,0.32,0.24,0.47,0.3,71,72.0,170.0,1.0,Welterweight
Maryna Moroz,Orthodox,1991-09-08,11,6,0,4.42,0.33,4.89,0.51,0.7,0.24,0.42,0.6,67,67.0,125.0,0.0,Flyweight
Sergey Morozov,Orthodox,1989-06-14,19,5,0,3.01,0.43,2.97,0.61,3.63,0.31,0.68,0.0,66,67.0,135.0,1.0,Bantamweight
Carlos Mota,Orthodox,1995-04-15,8,2,0,0.8,0.41,1.13,0.54,0.0,0.0,0.5,1.0,64,69.0,125.0,5.0,Flyweight
Miki Motono,Southpaw,1994-05-18,8,5,0,1.27,0.27,4.2,0.57,3.0,0.3,0.0,1.0,62,63.0,115.0,1.0,Flyweight
Nikolas Motta,Orthodox,1993-02-08,15,6,0,4.13,0.38,5.28,0.52,0.0,0.0,0.83,0.0,69,70.0,155.0,1.0,Lightweight
Eduarda Moura,Orthodox,1994-02-28,12,2,0,2.57,0.37,2.5,0.58,3.58,0.34,0.8,0.4,66,67.0,125.0,1.0,Flyweight
Gegard Mousasi,Orthodox,1985-08-01,42,6,2,3.75,0.5,1.21,0.68,1.59,0.6,0.59,1.1,74,76.0,185.0,2.0,Middleweight
Kris Moutinho,Southpaw,1992-08-09,14,8,0,3.35,0.33,9.36,0.3,0.0,0.0,0.3,0.0,67,68.0,135.0,1.0,Bantamweight
Jamie Moyle,Orthodox,1989-03-17,4,3,0,4.51,0.51,4.0,0.65,1.0,0.21,0.5,0.0,61,65.0,115.0,4.0,Flyweight
Askar Mozharov,Orthodox,1994-10-26,19,13,0,0.43,0.18,4.07,0.13,0.0,0.0,0.33,0.0,75,74.0,205.0,-1.0,Light Heavyweight
Lauren Mueller,Orthodox,1991-11-15,5,3,0,4.08,0.41,3.77,0.58,0.7,0.5,0.71,0.0,65,67.0,125.0,2.0,Flyweight
Belal Muhammad,Orthodox,1988-07-09,24,5,0,4.43,0.43,3.82,0.55,2.14,0.36,0.9,0.1,71,72.0,170.0,1.0,Welterweight
James Mulheron,Orthodox,1988-02-20,11,2,0,2.4,0.31,3.47,0.42,0.0,0.0,0.25,0.0,70,73.0,243.0,3.0,Heavyweight
Jamie Mullarkey,Orthodox,1994-08-17,18,9,0,4.1,0.46,4.28,0.54,2.46,0.3,0.7,0.1,72,74.0,155.0,2.0,Lightweight
Melissa Mullins,Orthodox,1991-07-23,7,2,0,3.71,0.5,4.39,0.52,2.03,0.42,0.85,0.0,67,68.0,135.0,1.0,Bantamweight
Ananias Mulumba,Switch,1998-09-18,9,3,0,6.1,0.44,5.96,0.52,0.0,0.0,1.0,2.1,65,70.0,145.0,5.0,Featherweight
Pedro Munhoz,Orthodox,1986-09-07,20,10,0,5.38,0.41,6.29,0.55,0.48,0.16,0.82,0.5,66,65.0,135.0,-1.0,Bantamweight
Andre Muniz,Southpaw,1990-02-17,24,8,0,2.08,0.48,2.46,0.51,3.98,0.48,0.35,1.1,73,78.0,185.0,5.0,Middleweight
Mark Munoz,Orthodox,1978-02-09,14,6,0,3.12,0.51,2.26,0.57,3.17,0.29,0.57,0.6,72,71.0,185.0,-1.0,Middleweight
Alexander Munoz,Switch,1990-02-27,7,2,0,3.7,0.42,4.73,0.55,3.0,0.4,1.0,0.0,69,72.0,155.0,3.0,Lightweight
Johnny Munoz,Orthodox,1993-02-16,12,4,0,2.44,0.36,2.66,0.55,2.4,0.25,0.45,1.8,69,71.0,135.0,2.0,Bantamweight
Olivier Murad,Southpaw,1993-12-21,6,0,0,2.6,0.36,2.2,0.61,1.0,1.0,0.55,0.0,70,72.0,145.0,2.0,Featherweight
Makhmud Muradov,Orthodox,1990-02-08,26,8,0,4.21,0.43,2.57,0.61,3.03,0.66,0.77,0.2,74,75.0,185.0,1.0,Middleweight
Kanako Murata,Orthodox,1993-08-10,12,3,0,2.15,0.56,2.4,0.53,3.38,0.56,1.0,0.8,61,62.0,115.0,1.0,Flyweight
Vince Murdock,Orthodox,1991-03-21,12,4,0,1.21,0.21,7.17,0.4,0.0,0.0,0.0,0.0,66,64.0,145.0,-2.0,Featherweight
Samandar Murodov,Orthodox,1999-08-28,11,0,0,1.5,0.75,0.5,0.44,6.01,0.66,0.0,1.5,73,75.0,170.0,2.0,Welterweight
Lauren Murphy,Orthodox,1983-07-27,16,7,0,3.94,0.38,5.19,0.56,1.09,0.24,0.67,0.2,65,67.0,125.0,2.0,Flyweight
Lerone Murphy,Orthodox,1991-07-22,17,0,1,4.48,0.53,2.51,0.61,1.41,0.54,0.51,0.5,69,73.0,145.0,4.0,Featherweight
Jesse Murray,Orthodox,1993-01-26,8,4,0,2.38,0.28,7.72,0.43,0.0,0.0,0.0,0.0,75,78.0,205.0,3.0,Light Heavyweight
Khalid Murtazaliev,Orthodox,1993-07-15,14,2,0,4.8,0.69,0.4,0.78,7.5,1.0,0.33,0.0,72,76.0,185.0,4.0,Middleweight
Azamat Murzakanov,Southpaw,1989-04-12,16,0,0,4.7,0.57,2.86,0.6,0.55,0.15,0.87,0.0,70,71.0,205.0,1.0,Light Heavyweight
Josias Musasa,Southpaw,1998-10-10,8,2,0,3.19,0.45,4.39,0.36,0.9,0.5,0.81,0.5,68,74.0,135.0,6.0,Bantamweight
Tofiq Musayev,Orthodox,1989-12-15,22,6,0,0.44,0.33,0.44,0.71,0.0,0.0,0.4,0.0,69,69.0,155.0,0.0,Lightweight
Nicholas Musoke,Orthodox,1986-04-05,13,5,0,3.56,0.35,3.8,0.57,1.16,0.19,0.82,0.2,72,75.0,170.0,3.0,Welterweight
Magomed Mustafaev,Orthodox,1988-08-02,14,4,0,2.59,0.58,2.68,0.41,3.31,0.5,0.23,0.4,68,71.0,155.0,3.0,Lightweight
Elvis Mutapcic,Orthodox,1986-07-19,15,6,1,3.41,0.4,4.27,0.38,0.0,0.0,0.81,0.0,72,72.0,185.0,0.0,Middleweight
Muhammad Naimov,Orthodox,1994-08-07,13,4,0,2.51,0.4,3.35,0.44,1.49,0.3,0.68,0.2,69,70.0,145.0,1.0,Featherweight
Yura Naito,Orthodox,1996-04-26,6,1,0,1.22,0.44,5.33,0.28,1.67,0.09,0.0,0.0,72,74.0,185.0,2.0,Middleweight
Kazuhiro Nakamura,Orthodox,1979-07-16,21,13,0,1.56,0.37,1.83,0.59,1.73,0.36,0.42,0.6,71,70.0,205.0,-1.0,Light Heavyweight
Keita Nakamura,Southpaw,1984-05-22,34,10,2,2.23,0.36,3.2,0.58,1.65,0.48,0.63,0.3,71,73.0,170.0,2.0,Welterweight
Rinya Nakamura,Southpaw,1995-03-23,10,1,0,3.27,0.52,1.72,0.63,2.58,0.81,1.0,1.4,67,68.0,135.0,1.0,Bantamweight
Keiichiro Nakamura,Southpaw,1998-12-02,8,1,0,4.48,0.41,4.28,0.63,0.0,0.0,0.78,0.0,70,70.0,145.0,0.0,Featherweight
Tokitaka Nakanishi,Orthodox,1996-07-28,12,4,0,1.1,0.44,1.57,0.45,3.0,0.37,0.0,0.0,66,66.0,135.0,0.0,Bantamweight
Mandel Nallo,Orthodox,1989-07-26,14,3,0,8.61,0.62,2.58,0.72,0.0,0.0,1.0,0.0,72,75.0,155.0,3.0,Lightweight
Tyson Nam,Orthodox,1983-10-06,21,14,1,3.87,0.33,4.97,0.65,0.0,0.0,0.87,0.0,67,68.0,125.0,1.0,Flyweight
Rose Namajunas,Orthodox,1992-06-29,15,8,0,3.5,0.41,3.38,0.63,1.47,0.48,0.62,0.3,65,65.0,125.0,0.0,Flyweight
Nad Narimani,Orthodox,1987-04-14,12,4,0,3.33,0.42,3.0,0.58,1.92,0.41,0.7,0.0,68,70.0,145.0,2.0,Featherweight
Allan Nascimento,Orthodox,1991-09-11,22,6,0,3.06,0.55,2.53,0.52,1.26,0.23,0.37,1.1,68,69.0,125.0,1.0,Flyweight
Rodrigo Nascimento,Orthodox,1992-11-26,11,3,0,3.71,0.47,4.34,0.44,1.02,0.37,0.6,0.5,74,80.0,246.0,6.0,Heavyweight
Bobby Nash,Orthodox,1990-03-26,8,4,0,3.42,0.37,3.95,0.51,2.37,0.33,1.0,1.6,72,74.0,170.0,2.0,Welterweight
